,reviews
678,A great water fall show with all the planting hard to know you are in the middle of an airport. Surrounded by shops making it a very busy place with a lot of people if you want a quiet place to chill out this is not the place. plenty of eating options just could not find any gluten free options.
679,Never would I have believed an Airport would become a destination in and of itself.  The beauty and music are an amazing combination and time worth spent!
680,"I’m so stunned on how they manage to build a large forest indoor. It looks like they build everything for the trees to grow. Supply soil for it to root, water and food to fill its body, UV for it to photosynthesize, temperature control. The waterfall is so impressive.  The light"
681,"We originally planned to fly in from Kota Kinabalu and stay in a Singapore city hotel. Then we saw the info on the Jewel and the Yotelair hotel.  So, to the Jewel..... We arrived around 6pm, booked into the hotel and then went for a quick walkabout on the top floor around the"
682,"In spite of all the hype, Jewel Changi is just a massive shopping mall near a big international airport. Shops, shops and shops - and most of them the same brands and chains you can find anywhere in the world. What makes it different is the giant spectacular water feature and"
683,"We visited late afternoon/evening on a Sunday - so given it was a weekend and the Jewel has only been open for 3 weeks, the enormous crowds of people were perhaps not surprising! Nevertheless, the water vortex was fascinating, especially after dark with the added music and multi"
684,"In a chaotic mall, suddenly there’s an area with a superb vortex waterfall and a green surroundings. Good place for a break after few hours of shopping. It’s simply awesome."
685,"The waterfall trully impressive, but nothing else to see. The rest just a typical mall.  Ps. They have a pokemon store which not every country have it. If you're a pokemon maniac, it's a must "
686,A must see.  I'd happily spend all day there.  Nice bars and cafe on the top floor.  I'll go back with the DSLR and the family.
687,"Very good place to visit if you have time flying out of the airport or arrival with great chance to take photos , great for locals also to visit   Very well planned as expected in Singapore , good place to visit and spend extra hours before check in as hotel checkout is 1200 pm"
688,"The jewel is huge, full of shop, restaurants and sights to see. The only trouble is that half of Singapore comes to enjoy the “resort” that is situated in the middle of Changi airport- which means if you are a traveler so path is blocked by dawdling families, screaming kids,"
689,"Went to visit Jewel Changi for first time. New and latest attraction in SINGAPORE. Many tourist, travellers and local visitors. The main focus is the rain fountain in the centre of the building. Must see. "
690,The water feature is overwhelming- never saw anything like it. It's like something you would expect at Disney and Epcot (if they kept it up). The mall itself is too crowded with too many people taking selfies.
691,"Brilliant display of lights dancing within a 40m swirling vortex, in a centre of a 5-storey high garden with 2,500 trees and 100,000 shrubs, complete with monorail moving in the background and Hollywood blockbuster soundtrack. 

Be sure to catch this Rain Vortex show daily at 830pm, 930pm. Admission is FREE.

Jewel feels like a grand showcase of Singapore's ""City in a Garden""  vision."
692,"Was early at Terminal 2 waiting to pick up family members on an inbound flight and decided to see what all the hype of The Jewel was about.

Ok, essentially it is a mall with F&B outlets and entertainment opportunities like the Canopy Walk and Changi Experience.

The center piece was of course the indoor waterfall. Now, that was impressive. We were lucky to be there just when the light show started. Quite a sight.

By the way, the Jewel is located next to T1 and is connected to the other Terminals via a walkway.

Overall a decent enough place"
693,"with only one and half hour to spare prior to boarding, one can easily take a visit to this intriguing feature of changi. 5 mins to reach the waiting area after checking in our luggage. 3 minutes for the bus to arrive. 7 minutes to get to the drop off point and another 15 minutes to walk to the mall the center of which can be found the JEWEL of changi. from afar, it looks like a spaceship taking off. but upon approach, one can see why it is titled as such. the man-made waterfall was a big hit you cannot even take a selfie without a photobomber in the shot. you need to patiently position yourself to get the right angle to capture its magnificence.

i wonder how it looks like at night. i can only imagine the vivid colors those lights make when they collide with water. i wish we could stay longer."
694,"Feels like walking in the park, with a waterfall... actually you are inside a mall and connected to one of the busiest airport in the world, Singapore Changi airport.

Relax and unwind from your journey, either before or after or in between..."
695,"We had heard that the tallest indoor waterfall had opened at the Singapore Airport in April, but didn't think too much about it. We came through Singapore a second time on our five-week Asia vacation, and stayed at the Changi Crowne Plaza Hotel. The Jewel happens to be right next door to this hotel, so we walked over to this mega mall for dinner.

Wow--we had no idea! The waterfall was amazing and beautiful with the evening light show.  It's one of those travel experiences that could go either way (really good or really bad).  

It was fun to see locals visiting this new attraction for the first time. They were interspersed with airline travelers pulling their suitcases, who had extra time between connecting flights. It was Friday evening, so quite crowded (although we're used to that being from California).

The mall itself is great.  Very wide and spacious walkways and a large selection of restaurants.  We had a great pizza at the Pizza Express (and also terrific desserts).  

This experience was worth going out of our way for.  Apparently, the fifth floor will have various attractions, but it was closed when we were there."
696,This was the first attraction & impression of Singapore to us. We thought of spending 30 minutes however ended up spending 90 minutes there as the kids enjoyed viewing the waterfall and forest near waterfall. The aroma was pleasing and soothing. Worth a visit.
697,"I can safely say it is One of the best Garden Airport in the world. The indoor waterfall with its beautiful lasers depicting colourful lights display especially in the night is really awesome. There are also a large variety of food and beverage outlets for all young and old folks to choose for your tastebuds. There are 5 floors of everything branded shops etc and food, snacks like delicious burgers, fusion ice cream etc etc. The balancing Canopy Park at the top floor will be another eye openers for the young and middle age and the garden on top with beautiful flowers and plants on display are a sight to take in. 
A must visit on the way to airport to leave the country (allow extra 2 hours for your tour) Or upon your arrival. 
It will be best to make the Changi Jewel as an extra itinerary to take in the beautiful sights and shop and dine at the same time. Have fun & enjoy!!"
698,"The Changi Jewel is breathtaking. The centerpiece attraction commands the notice of the passengers and most eateries are located within view of the waterfall, making for very serene dining. The mall is also elegantly designed with very wide corridors and well-cleaned toilets. Must visit."
699,This place was something straight of an avatar movie. So much to look at. It really is a marvel and a must see.
700,"Now Changi Airport has a shopping mall with an awesome waterfall display.
Fantastic idea for those with a long stop over."
701,"If you are going to Singapore Changi Airport, you should visit the wonderful CROWN JEWEL OF Changi Airport. It’s was really wonderful experience."
702,"The vortex and greenery does remind one of Gardens by the Bay and it is truly hypnotic looking at the water cascading down at the various vantage points. This will be the next viral photo after MBS surboard rooftop. The variety of stores and duplex concepts do make your heart skip a beat but unlike MBS, the price range is a lot more accessible. I like the fact that local brands are showcased in this mall like Naise, Supermama, Rich and Good, Lim Chee Guan. There are so many eateries that you will be spoilt for choice. I also like the ample toilets/lifts/escalators that are easily accessible and not tucked in 1 corner to maximise retail leasing real estate."
703,"Changi Airport is the best airport in the world, and so Jewel Changi is the best shopping mall in Singapore.  The indoor waterfall is definitely a spectacle, together with the vegetation inside the mall - simply an oasis.  The building was very thoughtfully designed that allows sunlight to light up the mall and reduces its electricity consumption.  There are also many famous shops and restaurants here - lots to try and lots to do!"
704,"Jewel Changi Airport is a real jewel. A real gem in that sense. I was there for the pre-opening and was taken aback by its beauty and lush greenery. The indoor waterfall, Vortex is the main highlight of the Jewel. Beautiful! Aside from that, there are many shops and eateries. Must visit!"
705,"It’s a great place for all ages. I like the fact that most of it are our local shops. There’s movie theatre, loads of different entertainment for all ages. I went there during the preview and it was not as crowded as I thought it will be. Spacious. Though I miss my A&W, the queue doesnt worth my effort. Probably will head back the mall after 6-12 months when it’s less crowded. My two cents: perhaps there will be more free seating area added? It is a fantastic place for seniors to go to and hence it will be good there’s more seats for them to rest their legs after walking."
706,"The whole area is so spacious, combining leisure, nature, shopping, dining, entertainment activities all under 1 roof. The cannot miss - HSBC Rain Vortex. Jewel Changi Airport, it's not only a place for the tourists, but also for locals. Travelling in between terminals is a breeze..I love the place."
707,"This is one of the most amazing shopping centres I have ever seen. It is absolutely spectacular - you could spend hours walking around & still not see everything.
There seems to be an endless number of restaurants & shops, with a constant stream of people walking around enjoying the atmosphere.
The centre attraction is the rain vortex - simply stunning - the designer / architect  who came up with the concept to the engineers who brought it to life have to be extremely proud of this achievement.

Definitely worth a visit, and plan to spend at least a couple of hours there."
708,"This place was picturesque. Definitely take in the waterfall as it will leave you wanting to look at it for hours. I could have easily stayed there with a book for the day. It doesn't feel like an airport when you are there, it feels more like a mall. They've set it up in so residents of Singapore can visit anytime - flight or no flight. It is a great attraction and would recommend it to a friend."
709,"Either just to catch a flight, meeting a friend before taking off or just a transit stop, Jewel just added a great reason to be there early! So that you’ll have more time for dinner, shopping and leisurely enjoying the ambiance! It’s setting new standard for an airport environment! Convergence of tropical garden /Vortex with dinning/shopping while waiting for flight Or time to pass!"
710,"Just recently inaugurated the latest attraction of Singapore Airport - JEWEL of Changi. The sunday morning, thousand of visitor crowded at Jewel, the international travellers as well as the locals, visited the spectacular attraction of highest water fall at Singapore. So many visitors queeing up orderly thru the 5 levels of staircase and travelators. And, so many eateries and restaurants catering the visitors. Its a holiday sunday, young families as well as the
olders spectators coming to the vanue. No wonder that Singapore is famous for sophisticated high tech attraction. Beside 4 international terminals, now Jewel is included as the new destination for the travellers as well as the general public in Singapore."
711,"A huge shopping centre with numerous restaurants. Crowded with locals and tourists. Snaking queue for Shake Shack. The main attraction, HSBC Vortex is lovely, good for photos but was crowded most of the time. Good for passengers to pass some time while waiting for their flights."
712,"Let's start with the good:

1. Amazing mall and amenities.
2. Easy access to the airport
3. Good restaurants
4. Early check-in for select airlines (CHECK BEFORE GOING)

And the bad (why it is only getting 3 stars):
1. Scraping the barrel with brands. When Shake Shack has the pole position in a brand new $1.7b mall and is rubbing shoulders on that same level with Tokyu Hands and Muji, makes me worry...
2. Drop off has NO ACCESS TO EARLY CHECK IN!!! Beware. If you are thinking that this is a HK IFC style set-up, you will be sadly mistaken. The Jewel drop off is located a level above the early check-in, there are NO CARTS provided and the carts (even if there were any) are not allowed in the mall to go down to the early check-in. Horrible design and just a shame since they were so close to getting it right... How are you supposed to use the early check in if you can't even get to it???
3. Hotel: The Yotel is a joke. DO NOT WASTE YOUR TIME! It is very hard to get to (up on L4), the rooms are no larger than a closet and if you have bags with you, as point 2 states, you can't get a baggage cart to take them to the hotel with you...

Other than that, thought it was an amazing place!"
713,"One can’t help admire the shopping mall of the future! 

Great place to see, shop if you have deep pockets, & relax in their garden with luscious greenery & the HSBC Rain Vortex right in the center of the Jewel.

Plan to visit Jewel on your free day, I don’t think you can get all things (eat, drink, shop, & look around) done in 4 hours. The Jewel is quite a distance from Terminals 1, 2, 3, or 4; you must have a layover or not less than 10 hours to enjoy Jewel."
714,It has just opened. You have to add to your list of places to visit while in Singapore. Please leave plenty of time to spend there or you just might miss your flight.....
715,"This mall is situated at Singapore Changi Airport area. It is easily accessible via public transport, and is connected via walkway to 3 of the airport terminals. You could also at the skytrain from terminal 2 or 3 to go there. There is a garden with an indoor waterfall in the"
716,Gorgeous Manmade wonder on earth. A veritable rainforest which comes alive in the evening with the beautiful colors.
717,"If you arrive early to the airport, check in at the counter and then walk to the Jewel Mall before you go through security. This new futuristic looking shopping center has in its centerpiece the world’s largest indoor funneled waterfalls surrounded in a park like setting. The"
718,"So beautiful! At night there are displays at the world's largest indoor waterfall. There is a supermarket, cinema, variety dining choices, including shopping! Easily connected to terminals 1-3 and mrt station (t1), you definitely need to come here when you are in Singapore!"
719,"There were a lot of buzz about the latest Jewel in town (well, Singapore is a tiny country after all).  I got myself 15 mins spare before departing to walk around this fountain and see why .. it’s a beautiful architecture and well worth the walk.. all the greens and sound of the"
720,"Passed by today, just there for a transit. The jewel mall attached with airport terminal can easily access via sky bridge. 

There are waterfall show once in every hour."
721,"Met up a friend at the Jewel Changi Airport, and I was totally impressed with the futuristic architectural design as well as the spaciousness, and great varieties of shops and dining choices. 

We have the World’s Tallest Indoor Waterfall with a nightly light and sound show being projected on the sheet of the plunging water. 

A canopy park will be slated for opening in June. There are a number of roof TOP restaurants.

Don’t forget to try the durian pudding from the 717 Trading shop, which specialises in offering durian made pastries. 

This is definitely a great space for you to spend time if you have a long connection time for some retail therapy, or have a great meal with a wide array of options - American burgers, Spanish tapas, sandwiches, Chinese dumplings or almost anything you could think of.

Big retail stores of Nike, Fila, Adidas, as well as the high end boutiques are found in this five storey building. 

It is great to meet a Friend for a cup of tea/coffee if you live in the East Coast of Singapore. 

Nearest MRT - Changi Airport. You could walk to Jewel from Terminal 1,2 or 3 through the link bridge."
722,"Wow!! What a place, excellent location for the Jewel shopping mall to be located, just a stone throw away from changi terminal 1.
The place is really, really exciting, interesting, environmental friendly, the center of the building has a huge waterfall, fully AC, lots of shopping areas, huge sighting seeing setting.
Highly recommended if one is around changi or in Singapore"
723,"Wow, this place is totally surreal. A giant circular multi-level shopping mall with a garden and a stunning waterfall in the middle. It was very crowded when we were in, but I guess it's as expected considering it was a weekend and this place has had just opened."
724,"The Jewel is not just another shopping mall, it is the most outstanding and beautiful experience for a property that is essentially a retail offering. You will find it hard not to imagine yourself in a forest in many of the locations around the building. No attempt to maximise the retail area, this mall gives substance to design and space.The waterfall which descends from the glass domed roof is spectacular. It  opened in late April and has quickly become the go to shopping and eating experience. Many airline passengers arrive early with early checkin counters for most or all the airlines at The Jewel. It is a great place to visit before your flight. There are so many restaurants to choose from and the design of most is so creative. Excellent addition to the Singapore shopping experience."
725,This is what going to an airport should be. Vortex waterfall is amazing. The mrt transport to the airport is first class. Singapore is a wonderful place to visit. 
726,A MUST VISIT. Simply another world class production of Spore. The main feature is obviously the indoor vortex waterfall which is HUGE and sits in the centre. My favourite thing about this place is having so much of eateries in one place. Don’t have to travel all over Spore to
727,The airport itself is very well done and instructions are easy to follow. We had a short time to our flight and decided to walk all the way from a different terminal to see the Jewel (waterfalls). a 15 minute walk from Terminal 2 was worth it.   Huge man made falls in a circular
728,"Jewel is a huge mall , well-connected with all the terminals. As of now its quite crowded as everyone is heading there. It's an amazing place with many eateries and shops to spend money :-)  Every possible cuisine is available there."
729,"This newly opened mall is directly connected to Changi airport terminal one (also accessible to terminal two and three).   The mall has so many food and retail outlets that you will be spoilt for choice.  Regardless if you are local and foreigner, it is a great place to spend"
730,"Do what we did...make time to visit before your flight. Yes of course there are the usual shops you can find anywhere, but the gardens, the building, the waterfall will simply take your breath away.
And you can still find a quiet corner to relax."
731,"As I wrote more than once, I see something new, notable to spectacular, every year I visit Singapore. This time it is stunning: the sparkling Jewel standing tall right in the heart of Changi, the efficient and beautifully landscaped Airport of Singapore.

The brand new destination connected to the terminals is garden, forest, waterfall, shops, shopping mall, restaurants, viewing galleries and playground all rolled into one giant gem. All over the vast place, one cannot help but marvel at the natural freshness of woodland. What is lacking is the filth, dust, weeds and rotting vegetation. Well over 280 shopping and dining areas and even a hotel are tucked in around the area spread over in multiple levels.

The focal point is the huge central dome, standing in the middle of the entire edifice. Jewel is justifiably proud of the the grandeur of the 40 meters-high HSBC Rain Vortex, and accurately claims it as the world's tallest indoor waterfall. This gush of water does not duplicate a natural waterfall. It is a huge circular torrential outpouring from the tall roof. It is water dropping down in the upper floors, but transform into a slide along the huge circular, transparent wall. Sound of elemental waterfall thunders down in the atmosphere from soundtrack. We visited the Jewel in the evening. As night falls, I believe, the waterfall acquires multihued splendor.

It is possible to go to Jewel after checking in from one of the terminals. But remember, one is leaving the security-and-immigration-cleared area, and therefore, go through the going-out and re-entering formalities. Luggage and wheeled bags are taboo. Conveniently, they can be safely entrusted to the baggage store.

Entry to Jewel is free now. One needs not be travelling through Changi Airport to enter. Anyone can walk into Jewel. In fact, I would suggest that unless you have a several-hours layover between flights, you would do better by not combining travel and the Jewel visit. Jewel demands and deserves several hours of unhurried, relaxed roaming.

Jewel has not completed installing all the attractions, though the areas now open do not have any stigma of unfinished work. The fifth floor Canopy Park with its manicured gardens and several play attractions will open by the middle of June.

It is already announced that the Canopy Bridge with a glass bottom, suspended 23 meters above the ground, and with fog emitting at both ends creating the illusion of waking on the clouds, will be added in June."
732,"Jewel is Changi Airport’s newest addition and it has that wow factor that leaves you speechless — while also ensuring that Singapore Airport keeps its “world’s best” title. 

The Jewel’s centerpiece and star attraction is the Rain Vortex, which appears to fall from the sky in the middle of The shopping mall. The world's tallest indoor waterfall, the Rain Vortex can be heard before it is seen but when you do suddenly come across it cascading from 40m, it is a dramatic sight that you can’t stop Instagramming! 

It is surrounded by lush gardens of thousands of trees and flowers and features a lovely meditation space at the bottom. 

The rest of the shopping mall — that happens to link the various terminals, is full of fantastic stores, quirky boutiques as well as luxury brands, and all sorts of foodie delights that range from fast food to haute cuisine. 

We spent a good three hours there before our flight and could easily have stayed longer. It is massive but well signposted and there are shuttles to take you to and from your terminal. 

An absolute must!"
733,"The Jewel is essentially a quality mall attached to Changi airport.   There is a good range of shops and restaurants plus the excellent attraction of a waterfall and vertical garden in the core.   It appears that more attractions and activities will be added.   There is an early checkin desk.   We checked in early in Terminal 3 and then spent about 2 hours exploring The Jewel.   I wouldn’t do that again but if you have spare time at the airport, it’s a nice place to spend it."
734,"Before our flight we decided to see the Jewel. The waterfall is nice, the rest is just a mall full of Singaporean’s standing in line for food. Not a place for travellers. It’s just another mall..."
735,An excellent new place to visit for everyone....regardless you are a local or a tourist! Lots of shops and restaurants that you would probably need hours to see them all. The highlights are Shiseido Forest Valley & The HSBS Rain Vortex. We visited the Forest Valley and Rain Vortex in the daylight hours and evening hours. You will be mesmerised like we did!
736,Jewel shopping centre had only been open a few days when l visited. It is possible to check your bags in at the shopping centre.  There were more locals than travelers. The fountain in the center was spectacular. Great shopping! Sue Savage
737,"Checked our luggage in then meandered across to Jewel, wow what an impressive mall, stunning features on the ceiling like jewelled bows & the waterfall vortex is captivating & very soothing it  changes colours too, surrounded by lots of plants especially sunflowers & orchids.

There are lots of designer shops & places to eat, having so much to do, you could easily lose track of your flight!"
738,"We visited on our departure from Singapore.  Left our hotel about 90 mins earlier than we needed to and took the MRT to the airport.  Followed the signs for Jewel (you take the bridge walk but I guess you could easily take the Skytrain and get off at Terminal One and walk from there).  Found the Early Check-in counters on Level one, checked in for our flight and dumped our suitcase.  Then we went for a walk around to see the waterfall thing.  It is very impressive, take the escalator to a higher level and look at it from above too or walk up the paths and steps from level one.  The plants etc will surely be more impressive after a few months of growth (things grow so quickly in Singapore, it won't take long!) but it is going to be a bit like the Rainforest dome at Gardens by the Bay only with a very impressive waterfall.
The shops etc are really just like any other shopping centre in the City."
739,"Recently opened at Changi Airport Singapore, this 10-storeyJewel has the tallest indoor waterfall towering at 40m, and surrounded by 'rainforest giving the Jurassic feel'. Very pretty at night with a light and sound show.

There are lots of shops and F&B outlets, plus a cineplex.

The top floor holds the 'activity discovery area' such as a maze, a bouncing and walking net, a slide and a mist and topiary garden which will be ready in June."
740,"Awesome place to have a nice meal at, do have dinner because then you can check out the light show at night!   Daily Timings are:  730pm 830pm 930pm 1030pm 1130pm 1230am"
741,"This is another architecture marvel designed by the same genius, Moshe Sadfie, who designed the famous Singapore icon - Marina Bay Sands.   This was originally the Changi Airport and now being renovated. The building includes dining, shopping, adventure park, ATMs for cash"
742,"The main attraction is the biggest indoor water fall. Lots of shops and restaurants. Unfortunately, the canopy walk on the 5th floor is closed until June. Anyway, there are restaurant and  bars still open on the 5th floor i. e.  Privé."
743,"Beautiful design and breathtaking indoor waterfall. The Jewel is linked to Terminal 1 to 3, consists of F&B restaurants and retail outlets.The place  is worth visiting."
744,Absolutely awesome to find a Gem in an Airport!  So much to see and experience.  Great architecture in modern perspective.
745,"You never be bored in Changi Airport, there are lots of beautiful scenery you can get. Especially the indoor waterfall was really amazing!"
746,Visually stunning a 40m indoor waterfall. 5 tiers of vegetation wirh paths up. Surrounded by 5 floors of shops.
747,It is so spacious and huge as it is connected to all the four terminals. I was attracted to the huge hologram fountain. Very well done indeed plus it is the main attraction too. My niece and nephew were so excited to see it. Anyway it was extremely crowded but we will definitely
748,Worst place to park. $5 an hour is ridiculous. Overrated as the shops are all the same throughout the whole island. Can give this a miss.
749,A must visit place even if you are just in transit in Singapore Changi airport. There are world renowned restaurants and it is a world class shopping mall.  You must go to experience it to understand the wow factor. Jewel is next to Terminal 1 and is linked to all 4 terminals.
750,"I am a local, I visited Jewels during the preview. It was super crowded and we did'nt get to see much due to the crowd. And the restaurant are packed too especially Shake Shack, their maiden store in SEA and also A&W making a come back after so many years. My 2nd visit I book YotelAIR to stayed for a night, that's when me and my wife really have all my time for Jewel...endless praises for the design, cleanliness and so many more. Definitely will be the favourite hangout for many..There's no airport like JEWEL CHANGI"
751,"Awesome place to spend some time while waiting for your flight.
The garden is huge and the waterfall makes you speechless.
It's a 5 minute walk from the airport, in a covered passway, entrance is free.
There's a big mall around it also, with many stores."
752,"Not all attractions are ready yet in the Jewel. But the landscape and waterfall itself are simply amazing. With the skytrain passing by, it just feels like in the future. It is really big mall, should reserve more time to explore the Jewel before your departure flight."
753,"The first thing you will see right at the entrance (Level 2) of Jewel Changi is the spectacular towering rain vortex. It huge and for the fact that its put right in the middle of an airport is amazing. The entire Jewel Changi consist of F&B, retail stores that are super spacious and also a hotel build for the convenience of customers who are transiting an have no place to stay. Overall the design are modern yet gives a cosy vibe."
754,A stunning 40m indoor waterfall surrounded by vegetation from around the world.  You can dine amidst the beautiful scenery and enjoy the experience as if you are part of the nature.  Great architecture!
755,"We had about a 9 hour transit at Changi Airport so decided to visit the newly opened Jewel. After a long queue at immigration and a rather long walk, we reached the Jewel. The rain vortex is indeed unique and impressive but that was the only wow factor for me. Otherwise just like any shopping centre."
756,I am kidding of course. Very cool and impressive ambience with plenty of choices for food. NTUC Fair price is there too.
757,Great experience! Truly the best. Airport and tourist spot in one... Singapore has never stop evolving in providing its tourist and locals an experience that you will cherish
758,"There is a little confusion between information staff at the airport,  One member of staff said I wouldn’t need to go through immigration to visit the Jewel on my stop over in Singapore.  However that was false, to visit the jewel you have to pass through immigration and get passport stamped.
I had 5 hours in the Jewel,  some great shops, and restaurants, and actually quite peaceful and calming with all the greenery and waterfall.
Overall a great way to pass a few hours between flights."
759,"State of the art design and infrastructure. Indoor Waterfall was majestic and the lights of the artificial forest at night was ambient and calming. Delighted with lots of exquisite shops inside, not to mention the biggest Starbucks in the world."
760,"This new jewel at the airport is definitely a must visit place, especially to see the indoor waterfall and plants, also includes a shopping mall, food court, etc"
761,"Incredible.
The waterfall is an incredible engineering feet.
It is the centre attraction surrounded by trees surrounded by a shopping complex attached to an airport.
A must see in Singapore for me probably the highlight.
There are many levels, you can even go to the underside and touch the plastic that has the water running down it.
Went both day and night. At night i caught the light show which went for a few minutes."
762,"What an amazing airport - no wonder it wins awards ! But it’s SO crowded - wow !!
People everywhere as it’s such a transit club !
We loved  visiting before our flight departed and taking in the sights"
763,Very good layout and really spacious and beautiful. The main attraction which is the areas around the fountain is truly beautiful and looks like it is actually outdoors. Was also pleasantly surprised to discover the lovely Canopy Park right at the highest floor. It is a very well-designed area very good for both adults and children to stroll through. Also a relaxing area to sit and read surrounded by lots of greenery. Really feels like a real outdoor park where kids can run around and play gleefully. Jewel is an amazing place where we can spend many hours enjoying its beauty as well as having all our meals there from breakfast to dinner! A must experience not to be missed.
764,"One of the biggest $1.3billion glass dome mall with 10 levels of 300 retail shops! Attractions are plentiful including famous biggest indoor waterfall Rain vortex, Foggy bowls (like staying in cloud mist - see last picture). Forest valley which is 5 storey - Rainwater is collected and sent down the waterfall, then used to water the gardens around it. At night, the waterfall turned into the backdrop for a gorgeous light show, about 2,500 trees and 100,000 shrubs from countries including Brazil, Australia, Thailand and the US.  Canopy park with canopy mazes and slides which is at top floor. Eateries here include London’s famous Burger and Lobster, Tanuki Raw, and Singapore’s first Tiger Beer “global concept store”.Asia only 2 Pokemon centres, one in Japan and one in Jewel is an instant hit!

It was indeed a fabulous place to go which I managed to get preview tickets before official opening which was 17 April 2019. Jewel is connected to the Arrival Hall (level 1) of Terminal 1."
765,"In spite of the massive holiday crowd, the awesome architecture, cascading greenery & falls cast an inspirational spell on all.  If you have time to spare during your transit, do come and be enchanted by the Jewel."
766,"The jewel opened a few weeks ago. We decided to go to the airport earlier before taking our international flight to checkout the Jewel. Wow what a jewel. It is absolutely stunning! Unfortunately the time we went was on a public holiday, it was just to busy. I think the whole of"
767,Was there last night on the eve of May day holiday.  Quite crowded as drove of people congregated there to catch a glimpse of the place.  Walked around but busy around 10pm most shops are either closed or in the process of closing..... 
768,First time visited Jewel. It's very amazing. Worth to go during your transit or spend you time before your flight to enjoy this breathtaking waterfall. 
769,"I'm penning this review not so much for fellow Singaporeans, as I feel after the hype dies down, Jewel will soon turn into just another mega shopping mall. But Jewel is essential for Changi Airport to raise claim as a regional transport hub, particularly for those transiting via"
770,"This place is incredible. Not as busy as I expected, feels like you’re in a rainforest and lots of places to eat or shop surrounding the massive waterfall/rainforest. If you fly to Changi, definitely go see jewel"
771,We checked in for our flight and then BEFORE going through immigration we travelled on the moving walkway (covered) to this amazing complex. Plenty of signs with directions. W bought more here than downtown.  Plenty of restaurants and a huge food hall.  Loved looking at the waterfall from all floors.  Returned to Terminal 3 and went through immigration to wait for our flight.  Hope to have longer time to see more on my next visit.
772,You have to come to believe how big this place is. The vortex is definitely a unique attraction that you should snap a selfie with. Lots of dining choices here as well.
773,"Whenever rain spoils our outing plan, we struggle to find a place to get together with a group of friends. When Tampines Hub was opened, I was amazed and that's where we plan if it rains. Now, with Changi Jewel, we have another place where we can spend a whole day without getting bored with family and kids. Kids play area, beautiful spots to take pics, shopping, lot of restaurants and food court, Imax. There's so much more. It's a mall close to nature. It may be crowded now since it's a new attraction in Singapore. Definitely worth visiting and spending time."
774,"Mall is aesthetically beautiful. Integration of hotel with retail and dining, coupled with gardens and facilities to offer travellers a different experience. If time permits, take the sky train from either Terminal 1, 2, or 3 for a stop over.  Plenty of parking lots. Clear signages. Unfortunately lines are very long at all diners."
775,"This is the shopping mall with the tallest indoor waterfall in the world. Besides all the major brands and restaurants, you can walk in an indoor garden without the heat. There is an early luggage check-in counter for people who decides to shop around before leaving the country. Because it is a new mall, it is relatively crowded and some areas need to be sorted out still."
776,"The new Changi Jewel is a must do for those passing through Singapore. A spectacular piece of architecture that is well thought through and perfectly executed. 

The gardens and waterfall are quite stunning and  the array of shops and restaurants but every other airport to shame. 

The Jewel has early checking facilities, luggage storage and all sorts of thing to occupy all ages.   The ideal place to pass time if you have long periods between flights, or need somewhere comfortable to hang out while waiting for your departure. 

MRT to the door, luggage storage and lots to see and do. Perfect."
777,"If u are coming or going to singapore dont forget to drop by at the jewel... right in the neart of the airport whenever your in departure or arrival you can find it easily. Can  roam around to see the view from top to bottom . And its free... 
And some added attractions where about to soon. cant wait to see them also."
778,"Jewel was just recently open. To get to Jewel is easy. Cheapest transport will be the MRT. It is situated near to Changing airport. The mall is huge and there are plenty of restaurants that serves different kind of cuisine.  There are plenty of shops to do your shopping. I believe this is where families spend their time as this place is crowded. You can see long queue at some of the well known restaurant. Here is the place that you can spend hours and hours here. They even have a food court and Shaw cinema. It is conveniently located next to the airport terminal. The waterfall landscape is breathtaking. If you do not know how to spend your weekend, Jewel is the place to hang out"
779,"This mall is amazing! You have to see the indoor waterfall. When you land in Terminal 1, at changi airport, just walk over to the waterfall. The plants are real! There is a ""splash zone"" but don't worry about it. It's only a little drizzle effect. Nothing big deal. After seeing the waterfall on the airport level, go down the escalator to the level below, and you can see the wall of water. Spectacular. Don't miss it!"
780,"I visited Jewel on her third day of public opening .  It is a one stop haven for gathering of families, and friends. There are many eateries  (albeit the Long queues) with wide price range : cafes , Food courts, restaurants, fast food outlets. It also can fulfil your shopping"
781,Don’t miss this. We had a 6 hr layover & decided to check out Jewel. It was worth the hassle of going through immigration again. The waterfall & plants are amazing. You forget you’re in an airport. The music & falling water is very calming & relaxing check it out on multiple
782,"For those catching a flight at Changi, do allocate at least 2 hours on top of your 3 hours airport procedure departure clearance. Jewel is something different from the ones in the city like Ion or Takashimaya. Jewel connects T1, T2, T3 with link bridges for patrons on a 5 mins"
783,"This is more than a mall, it is a destination by itself, once you approach the Waterfall, the feeling is like Welcome to the Jungle !  The greeneries, waterfall, trails are so soothing, a great respite from the city life.  Of cos, it is still a mall with plenty of food and"
784,"The Jewel sparkles for the BEST AIRPORT ON EARTH. Maybe forever. Go there to soothe your nerve if you are bored and tired. Abundance in quality F&B and I got what I wanted and was quite happy with this ONE-SIZE-FITS-ALL mega-mall.  Avoid Fri, Sat , Sun and all Public Holidays."
